Mnemonic,Long Name,Issuer Name,Security Type,Ticker,Asset_Class
XYLD,X IBOXX USD CORPORATE BOND YIELD PLUS,XTRACKERS (IE) PLC,SP,XYLD.L,Fixed Income
XDWY,X MSCI WORLD HIGH DIV YIELD 1D,XTRACKERS (IE) PLC,SP,XDWY.L,Global Equity
XZW0,XTRACKERS MSCI WORLD ESG UCITS ETF,XTRACKERS (IE) PLC,SP,XZW0.L,Global Equity
XZMJ,XTRACKERS MSCI JAPAN ESG UCITS ETF,XTRACKERS (IE) PLC,SP,XZMJ.L,Global Equity
XZMU,XTRACKERS MSCI USA ESG UCITS ETF,XTRACKERS (IE) PLC,SP,XZMU.L,Global Equity
XZEU,XTRACKERS MSCI EUROPE ESG UCITS ETF,XTRACKERS (IE) PLC,SP,XZEU.L,Global Equity
UFLT,INVESCO USD FLOATING RATE NOTE UCITS ETF,INVESCO MARKETS II PLC,SP,UFLT.L,Alternatives
MSAU,INVESCO MSCI SAUDI ARABIA UCITS ETF,INVESCO MARKETS PLC,SP,MSAU.L,Global Equity
AT1,INVESCO AT1 CAPITAL BOND UCITS ETF,INVESCO MARKETS II PLC,SP,AT1.L,Fixed Income
VDXX,VANGUARD DAX UCITS ETF,VANGUARD FUNDS PLC,SP,VDXX.L,Global Equity
EFIM,IVZ GS EQTY FCTR IDX EMG MKTS UCITS ETF,INVESCO MARKETS PLC,SP,EFIM.L,Global Equity
XLCS,IVZ COMMUNICATIONS US SECTOR UCITS ETF,INVESCO MARKETS PLC,SP,XLCS.L,Global Equity
AT1D,INVESCO AT1 CAPITAL BOND UCITS DIST,INVESCO MARKETS II PLC,SP,AT1D.L,Fixed Income
AT1S,INVESCO AT1 CAPITAL BOND GBP HDG DIST,INVESCO MARKETS II PLC,SP,AT1S.L,Fixed Income
VRPS,IVZ VARIABLE RATE PREFERRED SHARES ETF,INVESCO MARKETS II PLC,SP,VRPS.L,Global Equity
VPAC,IVZ VRP SHARES ETF ACC,INVESCO MARKETS II PLC,SP,VPAC.L,Global Equity
PRAC,IVZ PREFERRED SHARES ETF ACC,INVESCO MARKETS II PLC,SP,PRAC.L,Global Equity
