Mnemonic,Long Name,Issuer Name,Security Type,Ticker,Asset_Class
IPLT,ISHARES PHYSICAL PLATINUM ETC,ISHARES PHYSICAL METALS PLC,SP,IPLT.L,Alternatives
ISLN,ISHARES PHYSICAL SILVER ETC,ISHARES PHYSICAL METALS PLC,SP,ISLN.L,Alternatives
IGLN,ISHARES PHYSICAL GOLD ETC,ISHARES PHYSICAL METALS PLC,SP,IGLN.L,Alternatives
SGLS,INVESCO PHYSICAL GOLD GBP HEDGED ETC,INVESCO PHYSICAL MARKETS PLC,SP,SGLS.L,Alternatives
SGLD,INVESCO PHYSICAL GOLD ETC,INVESCO PHYSICAL MARKETS PLC,SP,SGLD.L,Alternatives
IPDM,ISHARES PHYSICAL PALLADIUM ETC,ISHARES PHYSICAL METALS PLC,SP,IPDM.L,Alternatives
SPAL,INVESCO PHYSICAL PALLADIUM ETC,INVESCO PHYSICAL MARKETS PLC,SP,SPAL.L,Alternatives
SPPT,INVESCO PHYSICAL PLATINUM ETC,INVESCO PHYSICAL MARKETS PLC,SP,SPPT.L,Alternatives
SSLV,INVESCO PHYSICAL SILVER ETC,INVESCO PHYSICAL MARKETS PLC,SP,SSLV.L,Alternatives
RMAU,THE ROYAL MINT PHYSICAL GOLD ETC SEC,HANETF ETC SECURITIES PLC,SP,RMAU.L,Alternatives
3LVO,GRANITESHARES 3X LONG VOD DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3LVO.L,Alternatives
3SVO,GRANITESHARES 3X SHORT VOD DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3SVO.L,Alternatives
3LGL,GRANITESHARES 3X LONG GLENCORE DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3LGL.L,Alternatives
3SGL,GRANITESHARES 3X SHORT GLENCORE DAILYETP,GRANITESHARES FINANCIAL PLC,SP,3SGL.L,Alternatives
3LBP,GRANITESHARES 3X LONG BP DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3LBP.L,Alternatives
3SBP,GRANITESHARES 3X SHORT BP DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3SBP.L,Alternatives
3LLL,GRANITESHARES 3X LONG LLOYDS DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3LLL.L,Alternatives
3SLL,GRANITESHARES 3XS LLOYDS B DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3SLL.L,Alternatives
3LAZ,GRANITESHARES 3XL ASTRAZENECA DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3LAZ.L,Alternatives
3SAZ,GRANITESHARES 3XS ASTRAZENECA DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3SAZ.L,Alternatives
3LDO,GRANITESHARES 3X LONG DIAGEO DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3LDO.L,Alternatives
3SDO,GRANITESHARES 3X SHORT DIAGEO DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3SDO.L,Alternatives
3LBA,GRANITESHARES 3XL BAE SYSTEMS DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3LBA.L,Alternatives
3SBA,GRANITESHARES 3XS BAE SYSTEMS DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3SBA.L,Alternatives
3LRI,GRANITESHARES 3XL RIO TINTO DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3LRI.L,Alternatives
3SRI,GRANITESHARES 3XS RIO TINTO DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3SRI.L,Alternatives
3LBC,GRANITESHARES 3XL BARCLAYS DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3LBC.L,Alternatives
3SBC,GRANITESHARES 3XS BARCLAYS DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3SBC.L,Alternatives
3LRD,GRANITESHARES 3X LONG SHELL-A DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3LRD.L,Alternatives
3SRD,GRANITESHARES 3X SHORT SHELL-A DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3SRD.L,Alternatives
3LRR,GRANITESHARES 3XL ROLLS-ROYCE DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3LRR.L,Alternatives
3SRR,GRANITESHARES 3XS ROLLS-ROYCE DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3SRR.L,Alternatives
3LAL,GRANITESHARES 3X LONG ALPHABET DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3LAL.L,Alternatives
3SAL,GRANITESHARES 3XSHORT ALPHABET DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3SAL.L,Alternatives
3LZN,GRANITESHARES 3X LONG AMAZON DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3LZN.L,Alternatives
3SZN,GRANITESHARES 3X SHORT AMAZON DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3SZN.L,Alternatives
3LAP,GRANITESHARES 3X LONG APPLE DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3LAP.L,Alternatives
3SAP,GRANITESHARES 3X SHORT APPLE DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3SAP.L,Alternatives
3LMS,GRANITESHARES 3X LONG MSFT DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3LMS.L,Alternatives
3SMS,GRANITESHARES 3X SHORT MSFT DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3SMS.L,Alternatives
3LNF,GRANITESHARES 3X LONG NETFLIX DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3LNF.L,Alternatives
3SNF,GRANITESHARES 3X SHORT NETFLIX DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3SNF.L,Alternatives
3LFB,GRANITESHARES 3X LONG FACEBOOK DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3LFB.L,Alternatives
3SFB,GRANITESHARES 3X SHORT FB DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3SFB.L,Alternatives
3LNV,GRANITESHARES 3X LONG NVIDIA DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3LNV.L,Alternatives
3SNV,GRANITESHARES 3X SHORT NVIDIA DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3SNV.L,Alternatives
3LTS,GRANITESHARES 3X LONG TESLA DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3LTS.L,Alternatives
3STS,GRANITESHARES 3X SHORT TESLA DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3STS.L,Alternatives
3LUB,GRANITESHARES 3X LONG UBER DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3LUB.L,Alternatives
3SUB,GRANITESHARES 3X SHORT UBER DAILY ETP,GRANITESHARES FINANCIAL PLC,SP,3SUB.L,Alternatives
SPLT,ISHARES PHYSICAL PLATINUM ETC,ISHARES PHYSICAL METALS PLC,SP,SPLT.L,Alternatives
SSLN,ISHARES PHYSICAL SILVER ETC,ISHARES PHYSICAL METALS PLC,SP,SSLN.L,Alternatives
SGLN,ISHARES PHYSICAL GOLD ETC,ISHARES PHYSICAL METALS PLC,SP,SGLN.L,Alternatives
SPDM,ISHARES PHYSICAL PALLADIUM ETC,ISHARES PHYSICAL METALS PLC,SP,SPDM.L,Alternatives
SGLP,INVESCO PHYSICAL GOLD ETC,INVESCO PHYSICAL MARKETS PLC,SP,SGLP.L,Alternatives
SPAP,INVESCO PHYSICAL PALLADIUM ETC,INVESCO PHYSICAL MARKETS PLC,SP,SPAP.L,Alternatives
SPPP,INVESCO PHYSICAL PLATINUM ETC,INVESCO PHYSICAL MARKETS PLC,SP,SPPP.L,Alternatives
SLVP,INVESCO PHYSICAL SILVER ETC,INVESCO PHYSICAL MARKETS PLC,SP,SLVP.L,Alternatives
RMAP,THE ROYAL MINT PHYSICAL GOLD ETC SEC,HANETF ETC SECURITIES PLC,SP,RMAP.L,Alternatives
EGLN,ISHARES PHYSICAL GOLD ETC,ISHARES PHYSICAL METALS PLC,SP,EGLN.L,Alternatives
AGAP,WISDOMTREE AGRICULTURE £,WISDOMTREE COMMODITY SECURITIES LTD,SP,AGAP.L,Alternatives
AGCP,WISDOMTREE BROAD COMMODITIES,WISDOMTREE COMMODITY SECURITIES LTD,SP,AGCP.L,Alternatives
AGGP,WISDOMTREE GRAINS,WISDOMTREE COMMODITY SECURITIES LTD,SP,AGGP.L,Alternatives
NGSP,WISDOMTREE NATURAL GAS £,WISDOMTREE COMMODITY SECURITIES LTD,SP,NGSP.L,Alternatives
BULP,WISDOMTREE GOLD £,WISDOMTREE COMMODITY SECURITIES LTD,SP,BULP.L,Alternatives
PHGP,WISDOMTREE PHYSICAL GOLD £,WISDOMTREE METAL SECURITIES ,SP,PHGP.L,Alternatives
PHSP,WISDOMTREE PHYSICAL SILVER £,WISDOMTREE METAL SECURITIES ,SP,PHSP.L,Alternatives
PHPP,WISDOMTREE PHYSICAL PRECIOUS METALS £,WISDOMTREE METAL SECURITIES ,SP,PHPP.L,Alternatives
GBSS,GOLD BULLION SECURITIES,GOLD BULLION SECURITIES LD,SP,GBSS.L,Alternatives
3LGS,WISDOMTREE NATURAL GAS 3X DAILY SHORT,WISDOMTREE MULTI ASSET ISSUER PLC,SP,3LGS.L,Alternatives
2CIT,LEVERAGE SHARES 2X CITIGROUP ETP,LEVERAGE SHARES PUBLIC LIMITED CO.,SP,2CIT.L,Alternatives
2FB,LEVERAGE SHARES 2X FACEBOOK ETP,LEVERAGE SHARES PUBLIC LIMITED CO.,SP,2FB.L,Alternatives
2GS,LEVERAGE SHARES 2X GOLDMAN SACHS ETP,LEVERAGE SHARES PUBLIC LIMITED CO.,SP,2GS.L,Alternatives
2GOO,LEVERAGE SHARES 2X ALPHABET ETP,LEVERAGE SHARES PUBLIC LIMITED CO.,SP,2GOO.L,Alternatives
2AMZ,LEVERAGE SHARES 2X AMAZON ETP,LEVERAGE SHARES PUBLIC LIMITED CO.,SP,2AMZ.L,Alternatives
2AAP,LEVERAGE SHARES 2X APPLE ETP,LEVERAGE SHARES PUBLIC LIMITED CO.,SP,2AAP.L,Alternatives
2JPM,LEVERAGE SHARES 2X JPMORGAN ETP,LEVERAGE SHARES PUBLIC LIMITED CO.,SP,2JPM.L,Alternatives
2MSF,LEVERAGE SHARES 2X MICROSOFT ETP,LEVERAGE SHARES PUBLIC LIMITED CO.,SP,2MSF.L,Alternatives
2VIS,LEVERAGE SHARES 2X VISA ETP,LEVERAGE SHARES PUBLIC LIMITED CO.,SP,2VIS.L,Alternatives
2NFL,LEVERAGE SHARES 2X NETFLIX ETP,LEVERAGE SHARES PUBLIC LIMITED CO.,SP,2NFL.L,Alternatives
2NVD,LEVERAGE SHARES 2X NVIDIA ETP,LEVERAGE SHARES PUBLIC LIMITED CO.,SP,2NVD.L,Alternatives
2CRM,LEVERAGE SHARES 2X SALESFORCE.COM ETP,LEVERAGE SHARES PUBLIC LIMITED CO.,SP,2CRM.L,Alternatives
3SSI,WISDOMTREE SILVER 3X DAILY SHORT (£),WISDOMTREE MULTI ASSET ISSUER PLC,SP,3SSI.L,Alternatives
3LSI,WISDOMTREE SILVER 3X DAILY LEVERAGED (£),WISDOMTREE MULTI ASSET ISSUER PLC,SP,3LSI.L,Alternatives
3SGO,WISDOMTREE GOLD 3X DAILY SHORT (£),WISDOMTREE MULTI ASSET ISSUER PLC,SP,3SGO.L,Alternatives
3LGO,WISDOMTREE GOLD 3X DAILY LEVERAGED (£),WISDOMTREE MULTI ASSET ISSUER PLC,SP,3LGO.L,Alternatives
3SDE,WISDOMTREE DAX 30 3X DAILY SHORT (£),WISDOMTREE MULTI ASSET ISSUER PLC,SP,3SDE.L,Alternatives
3LDE,WISDOMTREE DAX 30 3X DAILY LEVERAGED (£),WISDOMTREE MULTI ASSET ISSUER PLC,SP,3LDE.L,Alternatives
3BSR,WISDOMTREE BRENT CRUDE OIL 3X DAILY SHOR,WISDOMTREE MULTI ASSET ISSUER PLC,SP,3BSR.L,Alternatives
3LNG,WISDOMTREE NATURAL GAS 3X DAILY LEVERAGE,WISDOMTREE MULTI ASSET ISSUER PLC,SP,3LNG.L,Alternatives
BRNB,WISDOMTREE BRENT CRUDE OIL PRE-ROLL,WISDOMTREE MULTI ASSET ISSUER PLC,SP,BRNB.L,Alternatives
WTIB,WISDOMTREE WTI CRUDE OIL PRE-ROLL,WISDOMTREE MULTI ASSET ISSUER PLC,SP,WTIB.L,Alternatives
BRNG,WISDOMTREE BRENT CRUDE OIL,WISDOMTREE COMMODITY SECURITIES LTD,SP,BRNG.L,Alternatives
VILX,WISDOMTREE S&P 500 VIX SHORT-TERM FUTURE,WISDOMTREE MULTI ASSET ISSUER PLC,SP,VILX.L,Global Equity
3ULS,WISDOMTREE S&P 500 3X DAILY SHORT,WISDOMTREE MULTI ASSET ISSUER PLC,SP,3ULS.L,Alternatives
LQQ3,WISDOMTREE NASDAQ 100 3X DAILY LEVERAGED,WISDOMTREE MULTI ASSET ISSUER PLC,SP,LQQ3.L,Alternatives
LQQS,WISDOMTREE NASDAQ 100 3X DAILY SHORT,WISDOMTREE MULTI ASSET ISSUER PLC,SP,LQQS.L,Alternatives
3LEU,WISDOMTREE EURO STOXX 50® 3X DAILY LEVER,WISDOMTREE MULTI ASSET ISSUER PLC,SP,3LEU.L,Alternatives
3LES,WISDOMTREE EURO STOXX 50® 3X DAILY SHORT,WISDOMTREE MULTI ASSET ISSUER PLC,SP,3LES.L,Alternatives
3LUS,WISDOMTREE S&P 500 3X DAILY LEVERAGED,WISDOMTREE MULTI ASSET ISSUER PLC,SP,3LUS.L,Alternatives
3AMZ,LEVSHARES 3X AMAZON ETP,LEVERAGE SHARES PUBLIC LIMITED CO.,SP,3AMZ.L,Alternatives
3NVD,LEVSHARES 3X NVIDIA ETP,LEVERAGE SHARES PUBLIC LIMITED CO.,SP,3NVD.L,Alternatives
3AAP,LEVSHARES 3X APPLE ETP,LEVERAGE SHARES PUBLIC LIMITED CO.,SP,3AAP.L,Alternatives
3MSF,LEVSHARES 3X MICROSOFT ETP,LEVERAGE SHARES PUBLIC LIMITED CO.,SP,3MSF.L,Alternatives
3CRM,LEVSHARES 3X SALESFORCE.COM ETP,LEVERAGE SHARES PUBLIC LIMITED CO.,SP,3CRM.L,Alternatives
3GOO,LEVSHARES 3X ALPHABET ETP,LEVERAGE SHARES PUBLIC LIMITED CO.,SP,3GOO.L,Alternatives
2BAB,LEVSHARES 2X ALIBABA ETP,LEVERAGE SHARES PUBLIC LIMITED CO.,SP,2BAB.L,Alternatives
2TSL,LEVSHARES 2X TESLA ETP,LEVERAGE SHARES PUBLIC LIMITED CO.,SP,2TSL.L,Alternatives
2TWT,LEVSHARES 2X TWITTER ETP,LEVERAGE SHARES PUBLIC LIMITED CO.,SP,2TWT.L,Alternatives
3FB,LEVSHARES 3X FACEBOOK ETP,LEVERAGE SHARES PUBLIC LIMITED CO.,SP,3FB.L,Alternatives
3NFL,LEVSHARES 3X NETFLIX ETP,LEVERAGE SHARES PUBLIC LIMITED CO.,SP,3NFL.L,Alternatives
2MU,LEVSHARES 2X MICRON TECH ETP,LEVERAGE SHARES PUBLIC LIMITED CO.,SP,2MU.L,Alternatives
2AMD,LEVSHARES 2X ADVANCED MICRO DEVICES ETP,LEVERAGE SHARES PUBLIC LIMITED CO.,SP,2AMD.L,Alternatives
2UBR,LEVSHARES 2X UBER ETP,LEVERAGE SHARES PUBLIC LIMITED CO.,SP,2UBR.L,Alternatives
SBAB,LEVSHARES -1X ALIBABA ETP,LEVERAGE SHARES PUBLIC LIMITED CO.,SP,SBAB.L,Global Equity
STSL,LEVSHARES -1X TESLA ETP,LEVERAGE SHARES PUBLIC LIMITED CO.,SP,STSL.L,Global Equity
STWT,LEVSHARES -1X TWITTER ETP,LEVERAGE SHARES PUBLIC LIMITED CO.,SP,STWT.L,Global Equity
SMU,LEVSHARES -1X MICRON TECHNOLOGY ETP,LEVERAGE SHARES PUBLIC LIMITED CO.,SP,SMU.L,Global Equity
SAMD,LEVSHARES -1X ADVANCED MICRODEVICES ETP,LEVERAGE SHARES PUBLIC LIMITED CO.,SP,SAMD.L,Global Equity
SUBR,LEVSHARES -1X UBER ETP,LEVERAGE SHARES PUBLIC LIMITED CO.,SP,SUBR.L,Global Equity
SMSF,LEVSHARES -1X MICROSOFT ETP,LEVERAGE SHARES PUBLIC LIMITED CO.,SP,SMSF.L,Global Equity
SFB,LEVSHARES -1X FACEBOOK ETP,LEVERAGE SHARES PUBLIC LIMITED CO.,SP,SFB.L,Global Equity
SNFL,LEVSHARES -1X NETFLIX ETP,LEVERAGE SHARES PUBLIC LIMITED CO.,SP,SNFL.L,Global Equity
SGOO,LEVSHARES -1X ALPHABET ETP,LEVERAGE SHARES PUBLIC LIMITED CO.,SP,SGOO.L,Global Equity
SAMZ,LEVSHARES -1X AMAZON ETP,LEVERAGE SHARES PUBLIC LIMITED CO.,SP,SAMZ.L,Global Equity
SNVD,LEVSHARES -1X NVIDIA ETP,LEVERAGE SHARES PUBLIC LIMITED CO.,SP,SNVD.L,Global Equity
SAPL,LEVSHARES -1X APPLE ETP,LEVERAGE SHARES PUBLIC LIMITED CO.,SP,SAPL.L,Global Equity
SCRM,LEVSHARES -1X SALESFORCE.COM ETP,LEVERAGE SHARES PUBLIC LIMITED CO.,SP,SCRM.L,Global Equity
SGBX,WISDOMTREE PHYSICAL SWISS GOLD,WISDOMTREE METAL SECURITIES ,SP,SGBX.L,Alternatives
AIGC,WISDOMTREE BROAD COMMODITIES £,WISDOMTREE COMMODITY SECURITIES LTD,SP,AIGC.L,Alternatives
SBRT,WISDOMTREE BRENT CRUDE OIL 1X DAILY SHOR,WISDOMTREE COMMODITY SECURITIES LTD,SP,SBRT.L,Alternatives
FBRT,WISDOMTREE BRENT CRUDE OIL LONGER DATED,WISDOMTREE COMMODITY SECURITIES LTD,SP,FBRT.L,Alternatives
BRNT,WISDOMTREE BRENT CRUDE OIL,WISDOMTREE COMMODITY SECURITIES LTD,SP,BRNT.L,Alternatives
LBRT,WISDOMTREE BRENT CRUDE OIL 2X DAILY LEV,WISDOMTREE COMMODITY SECURITIES LTD,SP,LBRT.L,Alternatives
XGDU,XTRACKERS IE PHYSICAL GOLD ETC,XTRACKERS ETC PUBLIC LIMITED COMPAN,SP,XGDU.L,Alternatives
XSLR,XTRACKERS IE PHYSICAL SILVER ETC,XTRACKERS ETC PUBLIC LIMITED COMPAN,SP,XSLR.L,Alternatives
GLDA,AMUNDI PHYSICAL GOLD ETC,AMUNDI PHYSICAL METALS PLC,SP,GLDA.L,Alternatives
XGDG,X IE PHYSICAL GOLD ETC GBP,XTRACKERS ETC PUBLIC LIMITED COMPAN,SP,XGDG.L,Alternatives
GBSP,WISDOMTREE PHYSICAL GOLD - GBP DAILY HED,WISDOMTREE HEDGED METAL SECURITIES ,SP,GBSP.L,Alternatives
XFRM,WISDOMTREE BROAD COMMOD. EX-AGRI.&LIVEST,WISDOMTREE COMMODITY SECURITIES LTD,SP,XFRM.L,Alternatives
GBS,GOLD BULLION SECURITIES,GOLD BULLION SECURITIES LD,SP,GBS.L,Alternatives
ALUM,WISDOMTREE ALUMINIUM,WISDOMTREE COMMODITY SECURITIES LTD,SP,ALUM.L,Alternatives
COFF,WISDOMTREE COFFEE,WISDOMTREE COMMODITY SECURITIES LTD,SP,COFF.L,Alternatives
COPA,WISDOMTREE COPPER,WISDOMTREE COMMODITY SECURITIES LTD,SP,COPA.L,Alternatives
CORN,WISDOMTREE CORN,WISDOMTREE COMMODITY SECURITIES LTD,SP,CORN.L,Alternatives
COTN,WISDOMTREE COTTON,WISDOMTREE COMMODITY SECURITIES LTD,SP,COTN.L,Alternatives
CRUD,WISDOMTREE WTI CRUDE OIL,WISDOMTREE COMMODITY SECURITIES LTD,SP,CRUD.L,Alternatives
UGAS,WISDOMTREE GASOLINE,WISDOMTREE COMMODITY SECURITIES LTD,SP,UGAS.L,Alternatives
BULL,WISDOMTREE GOLD,WISDOMTREE COMMODITY SECURITIES LTD,SP,BULL.L,Alternatives
HEAT,WISDOMTREE HEATING OIL,WISDOMTREE COMMODITY SECURITIES LTD,SP,HEAT.L,Alternatives
HOGS,WISDOMTREE LEAN HOGS,WISDOMTREE COMMODITY SECURITIES LTD,SP,HOGS.L,Alternatives
CATL,WISDOMTREE LIVE CATTLE,WISDOMTREE COMMODITY SECURITIES LTD,SP,CATL.L,Alternatives
NGAS,WISDOMTREE NATURAL GAS,WISDOMTREE COMMODITY SECURITIES LTD,SP,NGAS.L,Alternatives
NICK,WISDOMTREE NICKEL,WISDOMTREE COMMODITY SECURITIES LTD,SP,NICK.L,Alternatives
SLVR,WISDOMTREE SILVER,WISDOMTREE COMMODITY SECURITIES LTD,SP,SLVR.L,Alternatives
SOYO,WISDOMTREE SOYBEAN OIL,WISDOMTREE COMMODITY SECURITIES LTD,SP,SOYO.L,Alternatives
SOYB,WISDOMTREE SOYBEANS,WISDOMTREE COMMODITY SECURITIES LTD,SP,SOYB.L,Alternatives
SUGA,WISDOMTREE SUGAR,WISDOMTREE COMMODITY SECURITIES LTD,SP,SUGA.L,Alternatives
WEAT,WISDOMTREE WHEAT,WISDOMTREE COMMODITY SECURITIES LTD,SP,WEAT.L,Alternatives
ZINC,WISDOMTREE ZINC,WISDOMTREE COMMODITY SECURITIES LTD,SP,ZINC.L,Alternatives
AIGE,WISDOMTREE ENERGY,WISDOMTREE COMMODITY SECURITIES LTD,SP,AIGE.L,Alternatives
AIGO,WISDOMTREE PETROLEUM,WISDOMTREE COMMODITY SECURITIES LTD,SP,AIGO.L,Alternatives
AIGP,WISDOMTREE PRECIOUS METALS,WISDOMTREE COMMODITY SECURITIES LTD,SP,AIGP.L,Alternatives
AIGI,WISDOMTREE INDUSTRIAL METALS,WISDOMTREE COMMODITY SECURITIES LTD,SP,AIGI.L,Alternatives
AIGA,WISDOMTREE AGRICULTURE,WISDOMTREE COMMODITY SECURITIES LTD,SP,AIGA.L,Alternatives
AIGS,WISDOMTREE SOFTS,WISDOMTREE COMMODITY SECURITIES LTD,SP,AIGS.L,Alternatives
AIGL,WISDOMTREE LIVESTOCK,WISDOMTREE COMMODITY SECURITIES LTD,SP,AIGL.L,Alternatives
AIGG,WISDOMTREE GRAINS £,WISDOMTREE COMMODITY SECURITIES LTD,SP,AIGG.L,Alternatives
PHPT,WISDOMTREE PHYSICAL PLATINUM,WISDOMTREE METAL SECURITIES ,SP,PHPT.L,Alternatives
PHPD,WISDOMTREE PHYSICAL PALLADIUM,WISDOMTREE METAL SECURITIES ,SP,PHPD.L,Alternatives
PHAG,WISDOMTREE PHYSICAL SILVER,WISDOMTREE METAL SECURITIES ,SP,PHAG.L,Alternatives
PHAU,WISDOMTREE PHYSICAL GOLD,WISDOMTREE METAL SECURITIES ,SP,PHAU.L,Alternatives
PHPM,WISDOMTREE PHYSICAL PRECIOUS METALS,WISDOMTREE METAL SECURITIES ,SP,PHPM.L,Alternatives
FAIG,WISDOMTREE BROAD COMMODITIES LONGER DATE,WISDOMTREE COMMODITY SECURITIES LTD,SP,FAIG.L,Alternatives
ENEF,WISDOMTREE ENERGY LONGER DATED,WISDOMTREE COMMODITY SECURITIES LTD,SP,ENEF.L,Alternatives
FIND,WISDOMTREE INDUSTRIAL METALS LONGER DATE,WISDOMTREE COMMODITY SECURITIES LTD,SP,FIND.L,Alternatives
FAGR,WISDOMTREE AGRICULTURE LONGER DATED,WISDOMTREE COMMODITY SECURITIES LTD,SP,FAGR.L,Alternatives
SALL,WISDOMTREE BROAD COMMODITIES 1X DLY SHRT,WISDOMTREE COMMODITY SECURITIES LTD,SP,SALL.L,Alternatives
SIME,WISDOMTREE INDUSTRIAL METALS 1X DLY SHRT,WISDOMTREE COMMODITY SECURITIES LTD,SP,SIME.L,Alternatives
SCOP,WISDOMTREE COPPER 1X DAILY SHORT,WISDOMTREE COMMODITY SECURITIES LTD,SP,SCOP.L,Alternatives
SBUL,WISDOMTREE GOLD 1X DAILY SHORT,WISDOMTREE COMMODITY SECURITIES LTD,SP,SBUL.L,Alternatives
SNGA,WISDOMTREE NATURAL GAS 1X DAILY SHORT,WISDOMTREE COMMODITY SECURITIES LTD,SP,SNGA.L,Alternatives
SNIK,WISDOMTREE NICKEL 1X DAILY SHORT,WISDOMTREE COMMODITY SECURITIES LTD,SP,SNIK.L,Alternatives
SSIL,WISDOMTREE SILVER 1X DAILY SHORT,WISDOMTREE COMMODITY SECURITIES LTD,SP,SSIL.L,Alternatives
LAGR,WISDOMTREE AGRICULTURE 2X DAILY LEVERAGE,WISDOMTREE COMMODITY SECURITIES LTD,SP,LAGR.L,Alternatives
LALU,WISDOMTREE ALUMINIUM 2X DAILY LEVERAGED,WISDOMTREE COMMODITY SECURITIES LTD,SP,LALU.L,Alternatives
LCFE,WISDOMTREE COFFEE 2X DAILY LEVERAGED,WISDOMTREE COMMODITY SECURITIES LTD,SP,LCFE.L,Alternatives
LCOP,WISDOMTREE COPPER 2X DAILY LEVERAGED,WISDOMTREE COMMODITY SECURITIES LTD,SP,LCOP.L,Alternatives
LCOR,WISDOMTREE CORN 2X DAILY LEVERAGED,WISDOMTREE COMMODITY SECURITIES LTD,SP,LCOR.L,Alternatives
LBUL,WISDOMTREE GOLD 2X DAILY LEVERAGED,WISDOMTREE COMMODITY SECURITIES LTD,SP,LBUL.L,Alternatives
LSIL,WISDOMTREE SILVER 2X DAILY LEVERAGED,WISDOMTREE COMMODITY SECURITIES LTD,SP,LSIL.L,Alternatives
LSUG,WISDOMTREE SUGAR 2X DAILY LEVERAGED,WISDOMTREE COMMODITY SECURITIES LTD,SP,LSUG.L,Alternatives
LPLA,WISDOMTREE PLATINUM 2X DAILY LEVERAGED,WISDOMTREE COMMODITY SECURITIES LTD,SP,LPLA.L,Alternatives
LCOC,WISDOMTREE COCOA 2X DAILY LEVERAGED,WISDOMTREE COMMODITY SECURITIES LTD,SP,LCOC.L,Alternatives
COCO,WISDOMTREE COCOA,WISDOMTREE COMMODITY SECURITIES LTD,SP,COCO.L,Alternatives
LEED,WISDOMTREE LEAD,WISDOMTREE COMMODITY SECURITIES LTD,SP,LEED.L,Alternatives
TINM,WISDOMTREE TIN,WISDOMTREE COMMODITY SECURITIES LTD,SP,TINM.L,Alternatives
FCRU,WISDOMTREE WTI CRUDE OIL LONGER DATED,WISDOMTREE COMMODITY SECURITIES LTD,SP,FCRU.L,Alternatives
LGBP,WISDOMTREE LONG GBP SHORT USD,WISDOMTREE FOREIGN EXCHANGE LIMITED,SP,LGBP.L,Alternatives
LEUR,WISDOMTREE LONG EUR SHORT USD,WISDOMTREE FOREIGN EXCHANGE LIMITED,SP,LEUR.L,Alternatives
LJPY,WISDOMTREE LONG JPY SHORT USD,WISDOMTREE FOREIGN EXCHANGE LIMITED,SP,LJPY.L,Alternatives
SGBP,WISDOMTREE SHORT GBP LONG USD,WISDOMTREE FOREIGN EXCHANGE LIMITED,SP,SGBP.L,Alternatives
SEUR,WISDOMTREE SHORT EUR LONG USD,WISDOMTREE FOREIGN EXCHANGE LIMITED,SP,SEUR.L,Alternatives
SJPY,WISDOMTREE SHORT JPY LONG USD,WISDOMTREE FOREIGN EXCHANGE LIMITED,SP,SJPY.L,Alternatives
SGBS,WISDOMTREE PHYSICAL SWISS GOLD,WISDOMTREE METAL SECURITIES ,SP,SGBS.L,Alternatives
CMCI,UBS ETC(UBS BBG CMCI COMPOSITE IDX)USD,UBS AG,SP,CMCI.L,Alternatives
LCNY,WISDOMTREE LONG CNY SHORT USD,WISDOMTREE FOREIGN EXCHANGE LIMITED,SP,LCNY.L,Alternatives
SCNY,WISDOMTREE SHORT CNY LONG USD,WISDOMTREE FOREIGN EXCHANGE LIMITED,SP,SCNY.L,Alternatives
