Mnemonic,Long Name,Issuer Name,Security Type,Ticker
HSUS,HSBC USA SUSTAINABLE EQUITY ETF,HSBC ETFS PLC,SP,HSUS.L
HSWO,HSBC DEV WORLD SUSTAINABLE EQUITY ETF,HSBC ETFS PLC,SP,HSWO.L
EMAS,SPDR MSCI EM ASIA UCITS ETF,SSGA SPDR ETFS EUROPE I PLC,SP,EMAS.L
EMSM,SPDR MSCI EMERGING MARKETS SMALL CAP ETF,SSGA SPDR ETFS EUROPE I PLC,SP,EMSM.L
EMRG,SPDR MSCI EMERGING MARKETS UCITS ETF,SSGA SPDR ETFS EUROPE I PLC,SP,EMRG.L
ACWI,SPDR MSCI ACWI UCITS ETF,SSGA SPDR ETFS EUROPE I PLC,SP,ACWI.L
EMDL,SPDR BBARC EM LOCAL BOND UCITS,SSGA SPDR ETFS EUROPE I PLC,SP,EMDL.L
UDVD,SPDR S&P US DIVIDEND ARISTOCRATS ETF $,SSGA SPDR ETFS EUROPE I PLC,SP,UDVD.L
EDVD,SPDR S&P EMERGING MARKETS DVD UCIT ETF $,SSGA SPDR ETFS EUROPE I PLC,SP,EDVD.L
EUDI,SPDR S&P EURO DIVIDEND ARISTOCRATS ETF,SSGA SPDR ETFS EUROPE I PLC,SP,EUDI.L
SPY5,SPDR S&P 500 UCITS ETF,SSGA SPDR ETFS EUROPE I PLC,SP,SPY5.L
GBRE,SPDR DOW JONES GLOBAL REAL EST UCITS ETF,SSGA SPDR ETFS EUROPE I PLC,SP,GBRE.L
USLV,SPDR S&P 500 LOW VOLATILITY UCITS ETF,SSGA SPDR ETFS EUROPE I PLC,SP,USLV.L
EMUE,SPDR MSCI EMU UCITS ETF £,SSGA SPDR ETFS EUROPE I PLC,SP,EMUE.L
EMIN,SPDR EM INFLATION LINKED BOND UCITS ETF,SSGA SPDR ETFS EUROPE I PLC,SP,EMIN.L
GBDV,SPDR S&P GLOBAL DIVIDEND UCITS ETF,SSGA SPDR ETFS EUROPE I PLC,SP,GBDV.L
PADV,SPDR S&P PAN ASIA DIVIDEND UCITS ETF,SSGA SPDR ETFS EUROPE I PLC,SP,PADV.L
TSY3,SPDR BBARC 1-3 US TREASURY BOND,SSGA SPDR ETFS EUROPE I PLC,SP,TSY3.L
SUSD,SPDR BBARC  0-3 US CORPORATE BOND,SSGA SPDR ETFS EUROPE I PLC,SP,SUSD.L
