Mnemonic,Long Name,Issuer Name,Security Type,Ticker,Asset_Class,Geography
CACX,LYXOR CAC 40 - DIST,LYXOR INTERNATIONAL ASSET MANAGEMNT,SP,CACX.L,Global Equity,Europe
MIBX,LYXOR FTSE MIB - DIST,MULTI UNITS FRANCE,SP,MIBX.L,Global Equity,Global
DAXX,LYX ETF DAX (DR) ACC,MULTI UNITS LUXEMBOURG,SP,DAXX.L,Global Equity,Europe
CNAA,LYX ETF HWABAO WP MSCI CHINA A(DR) ACC,MULTI UNITS FRANCE,SP,CNAA.L,Global Equity,China
UC79,UBS ETF MSCI EM SOCIALLY RESP USD A-DIS,UBS ETF,SP,UC79.L,Global Equity,US
UC67,UBS ETF - MSCI USA UCITS ETF (USD) A-DIS,UBS ETF,SP,UC67.L,Global Equity,US
DHS,WISDOMTREE US EQUITY INCOME UCITS ETF,WISDOMTREE ISSUER ICAV,SP,DHS.L,Global Equity,US
DESE,WISDOMTREE US SMALLCAP DIV UCITS ETF,WISDOMTREE ISSUER ICAV,SP,DESE.L,Global Equity,US
EEI,WT EUROPE EQTY INCOME UCITS,WISDOMTREE ISSUER ICAV,SP,EEI.L,Global Equity,Europe
DFE,WISDOMTREE EUROPE SMALLCAP DIV UCITS ETF,WISDOMTREE ISSUER ICAV,SP,DFE.L,Global Equity,Europe
UKSR,UBS ETF MSCI UK SRI A-DIS,UBS (IRL) ETF PLC,SP,UKSR.L,Global Equity,UK
UC76,UBS ETF BLM BARC US LIQUID CRP USD A-DIS,UBS ETF,SP,UC76.L,Fixed Income,US
UC85,UBS ETF BLM BARC US LIQ CRP HD TO GBP AD,UBS ETF,SP,UC85.L,Fixed Income,UK
UC82,UBSETF BLM BARC US LIQ CRP 1-5 HD TO GBP,UBS ETF,SP,UC82.L,Fixed Income,UK
UC81,UBSETF BLM BARC US LIQ CRP 1-5 USD A-DIS,UBS ETF,SP,UC81.L,Fixed Income,US
NXKE,NOMURA NIKKEI 225 EUR-HEDGED UCITS ETF,NOMURA NEXT FUNDS IRELAND PLC,SP,NXKE.L,Global Equity,Europe
NXKU,NOMURA NIKKEI 225 USD-HEDGED UCITS ETF,NOMURA NEXT FUNDS IRELAND PLC,SP,NXKU.L,Global Equity,US
MSEU,LYXOR EURO STOXX 50 - DAILY H TO USD-ACC,MULTI UNITS FRANCE,SP,MSEU.L,Global Equity,US
MSEX,LYXOR EURO STOXX 50 - DAILY H TO GBP-ACC,MULTI UNITS FRANCE,SP,MSEX.L,Global Equity,UK
UC89,UBSETF MSCI EMU HDG TO USD A-DIS,UBS ETF,SP,UC89.L,Global Equity,US
CAPE,OSSIAM ETF SHILLER BARCLAYS CAPE EU-EUR,OSSIAM LUX,SP,CAPE.L,Global Equity,Europe
CSHD,LYXOR EURO OVERNIGHT RETURN UCITS ETF,MULTI UNITS FRANCE,SP,CSHD.L,Cash,Cash
UC87,UBSETF MSCI CANADA HDG TO GBP A-ACC,UBS ETF,SP,UC87.L,Global Equity,UK
UC90,UBSETF CMCI COMPOSITE GBP A-ACC,UBS ETFS PLC,SP,UC90.L,Alternatives,UK
MEUG,LYXOR MSCI EUROPE - DIST GBP,MULTI UNITS FRANCE,SP,MEUG.L,Global Equity,UK
ISEQ,WISDOMTREE ISEQ 20 UCITS ETF,WISDOMTREE ISSUER ICAV,SP,ISEQ.L,Global Equity,Global
PAXJ,LYX ETF MSCI PACIFIC EX JAPAN DIS,MULTI UNITS LUXEMBOURG,SP,PAXJ.L,Global Equity,Japan
DXGP,WT GERMANY EQUITY UCITS ETF – GBP HED,WISDOMTREE ISSUER ICAV,SP,DXGP.L,Global Equity,UK
STYC,PIMCO US HY CORP BOND AC,PIMCO ETFS PUBLIC LIMITED COMPANY,SP,STYC.L,Fixed Income,US
DXJ,WT JAPAN EQUITY UCITS ETF USD HEDGED,WISDOMTREE ISSUER ICAV,SP,DXJ.L,Global Equity,US
HEDJ,WT EUROPE EQUITY UCITS ETF – USD HED,WISDOMTREE ISSUER ICAV,SP,HEDJ.L,Global Equity,US
